Label,Satisfied,MedianAge,MethodNumber,WeekDay,ArrivalHour,DepartureHour,Lat,Long
Satisfied,1,35,3,2,8,16,-33,151
Satisfied,1,55,3,2,7,16,-33,151
Satisfied,1,55,2,2,7,16,-33,151
Unsatisfied,0,45,1,2,8,17,-33,150
Unsatisfied,0,45,3,2,8,17,-33,151
Satisfied,1,25,3,2,6,18,-33,151
Unsatisfied,0,55,2,2,8,16,-33,150
Satisfied,1,45,3,2,7,18,-33,151
Unsatisfied,0,25,2,2,8,17,-33,151
Unsatisfied,0,25,1,2,21,17,-33,151
Unsatisfied,0,35,3,2,8,16,-33,150
Satisfied,1,45,1,2,7,17,-33,151
Unsatisfied,0,25,2,2,8,17,-33,150
Satisfied,1,35,3,2,8,17,-33,151
Satisfied,1,35,3,2,6,15,-33,150
Unsatisfied,0,55,3,2,8,17,-33,151
Satisfied,1,35,3,2,7,16,-33,151
Satisfied,1,45,1,2,8,19,-33,151
Satisfied,1,35,2,2,7,16,-33,150
Satisfied,1,35,1,2,9,19,-33,151
Unsatisfied,0,25,1,2,8,17,-33,151
Satisfied,1,35,1,2,8,17,-33,151
Unsatisfied,0,65,3,2,8,17,-33,150
Unsatisfied,0,35,3,2,7,16,-33,150
Unsatisfied,0,35,3,2,10,13,-33,150
Unsatisfied,0,45,3,2,6,15,-34,150
Unsatisfied,0,65,3,2,7,16,-33,150
Unsatisfied,0,45,3,2,7,16,-34,151
Satisfied,1,35,1,2,8,17,-33,151
Unsatisfied,0,35,3,2,9,17,-33,150
Satisfied,1,55,3,2,7,16,-33,151
Unsatisfied,0,35,3,2,8,16,-33,151
Satisfied,1,35,3,2,7,16,-33,151
Unsatisfied,0,45,3,2,8,18,-33,150
Unsatisfied,0,45,3,2,9,17,-33,151
Satisfied,1,25,5,2,7,16,-33,151
Unsatisfied,0,25,3,2,7,17,-33,151
Satisfied,1,35,3,2,6,18,-33,151
Satisfied,1,35,1,2,8,17,-33,151
Satisfied,1,25,2,2,8,17,-33,151
Unsatisfied,0,35,3,2,8,18,-33,151
Unsatisfied,0,35,3,2,8,17,-33,151
Unsatisfied,0,45,3,2,7,17,-33,151
Satisfied,1,45,1,2,8,16,-33,151
Unsatisfied,0,55,3,2,8,17,-33,151
Satisfied,1,35,3,2,10,19,-33,151
Unsatisfied,0,55,3,2,8,16,-34,151
Unsatisfied,0,45,3,2,7,16,-33,150
Satisfied,1,35,3,2,8,18,-33,151
Satisfied,1,65,3,2,8,16,-33,151
Unsatisfied,0,35,3,2,9,18,-33,150
Unsatisfied,0,55,3,2,9,17,-33,151
Unsatisfied,0,45,3,2,8,16,-33,151
Unsatisfied,0,45,3,2,8,16,-33,151
Satisfied,1,35,3,2,8,18,-33,151
Unsatisfied,0,45,2,2,7,16,-33,150
Unsatisfied,0,25,1,2,6,18,-33,151
Satisfied,1,35,3,2,7,17,-33,151
Unsatisfied,0,45,2,2,7,16,-33,150
Unsatisfied,0,35,3,2,6,15,-34,150
Unsatisfied,0,35,1,2,10,19,-33,151
Satisfied,1,35,3,2,8,19,-33,151
Satisfied,1,35,3,2,11,20,-33,151
Satisfied,1,25,3,2,7,17,-33,151
Unsatisfied,0,45,1,2,15,23,-33,151
Unsatisfied,0,45,3,2,7,15,-33,150
Unsatisfied,0,55,3,2,7,18,-33,150
Unsatisfied,0,55,3,2,8,18,-33,151
Unsatisfied,0,55,3,2,8,18,-33,151
Satisfied,1,25,2,2,8,17,-33,150
Unsatisfied,0,45,3,2,8,17,-33,151
Unsatisfied,0,35,1,2,8,4,-33,150
Satisfied,1,45,1,2,9,17,-33,151
Satisfied,1,55,3,2,7,16,-33,151
Satisfied,1,45,3,2,7,19,-33,151
Satisfied,1,55,3,2,7,16,-33,151
Unsatisfied,0,45,3,2,9,18,-33,150
Satisfied,1,65,2,2,7,16,-33,150
Satisfied,1,35,3,2,6,15,-33,151
Unsatisfied,0,55,3,2,8,17,-34,150
Unsatisfied,0,45,3,2,8,18,-33,151
Unsatisfied,0,55,3,2,7,16,-33,150
Unsatisfied,0,45,3,2,8,18,-33,151
Satisfied,1,55,2,2,8,17,-33,150
Satisfied,1,25,3,2,8,17,-33,151
Satisfied,1,45,3,2,9,18,-33,150
Satisfied,1,35,2,2,8,17,-33,150
Satisfied,1,35,5,2,7,15,-33,151
Satisfied,1,55,1,2,7,16,-33,150
Satisfied,1,45,3,2,8,17,-33,151
Satisfied,1,25,3,2,8,17,-33,150
Unsatisfied,0,45,3,2,8,18,-33,151
Satisfied,1,55,3,2,8,18,-33,151
Satisfied,1,35,3,2,8,17,-33,151
Satisfied,1,65,3,2,8,17,-33,151
Satisfied,1,35,3,2,9,18,-33,151
Unsatisfied,0,35,3,2,7,18,-33,150
Unsatisfied,0,35,1,2,8,17,-33,151
Unsatisfied,0,25,3,2,8,17,-33,151
Unsatisfied,0,35,3,2,8,16,-33,150
Unsatisfied,0,55,1,2,8,16,-34,150
Satisfied,1,55,3,2,8,18,-33,151
Satisfied,1,45,3,2,9,17,-33,151
Satisfied,1,55,3,2,7,15,-33,151
Satisfied,1,45,3,2,7,17,-33,151
Satisfied,1,55,2,2,7,16,-33,150
Unsatisfied,0,25,1,2,8,16,-33,151
Satisfied,1,45,2,2,8,17,-33,151
Unsatisfied,0,35,3,2,6,15,-33,150
Unsatisfied,0,55,3,2,19,18,-33,151
Satisfied,1,55,1,2,7,16,-33,151
Satisfied,1,45,3,2,8,18,-33,151
Unsatisfied,0,35,3,2,8,17,-33,150
Unsatisfied,0,25,3,2,7,16,-33,150
Unsatisfied,0,25,3,2,7,16,-33,150
Unsatisfied,0,35,2,2,8,16,-33,150
Satisfied,1,45,3,2,9,17,-33,151
Unsatisfied,0,55,3,2,8,17,-33,151
Satisfied,1,45,3,2,9,17,-33,151
Unsatisfied,0,35,2,2,7,16,-33,150
Unsatisfied,0,15,1,2,9,18,-33,151
Satisfied,1,45,3,2,8,17,-33,151
Unsatisfied,0,45,1,2,7,15,-33,151
Satisfied,1,45,3,2,9,18,-33,151
Satisfied,1,55,3,2,8,16,-33,151
Satisfied,1,45,3,2,8,17,-33,151
Satisfied,1,35,1,2,7,18,-33,151
Satisfied,1,55,3,2,8,17,-33,151
Unsatisfied,0,45,3,2,8,18,-33,150
Satisfied,1,25,3,2,7,16,-33,151
Satisfied,1,65,3,2,8,18,-33,151
Unsatisfied,0,35,3,2,8,18,-33,150
Satisfied,1,45,5,2,9,19,-33,151
Unsatisfied,0,35,3,2,7,16,-34,151
Unsatisfied,0,25,3,2,8,17,-33,151
Satisfied,1,25,2,2,7,16,-33,150
Satisfied,1,35,3,2,6,15,-33,150
Satisfied,1,55,2,2,8,16,-33,151
Unsatisfied,0,65,3,2,7,16,-33,151
Satisfied,1,65,3,2,7,16,-33,150
Unsatisfied,0,25,3,2,8,17,-33,151
Satisfied,1,35,3,2,8,17,-33,151
Satisfied,1,45,2,2,7,16,-33,150
Unsatisfied,0,55,2,2,8,17,-33,150
Satisfied,1,45,3,2,7,17,-33,151
Satisfied,1,45,3,2,7,16,-33,151
Unsatisfied,0,25,3,2,8,16,-33,150
